"ZoteroID","Title","Publication Year","Author"
"ER99T5AE","Monitoring green turtle population dynamics in Shoalwater Bay: 2000 - 2004",2005,"Limpus, Colin J.; Limpus, Duncan J.; Arthur, Karen E.; Parmenter, C. John"
"A5APRGRU","Trials of the ancient mariners: Tracing marine turtles migrations with genetic markers",1996,"Bowen, Brian W.; Bass, Anna L."
"ZP5RWSMS","New host records of the turtle barnacle, Cylindrolepas sinica: a case study of sea turtles' behaviour and their epibionts",2009,"Hayashi, Ryota"
"I93KP4AV","Conservation genetics of marine turtles",1996,"Bowen, Brian W.; Avise, John C."
"EQV283H5","RECHERCHES SUR LA CEINTURE SCAPULAIRE DES CHELONIENS",1961,"FRIANT, M."
"CDDC82XK","MALE-BIASED SEX-RATIO IN A COLD NEST OF A HAWKSBILL SEA TURTLE (ERETMOCHELYS-IMBRICATA)",1985,"DALRYMPLE, GH; HAMPP, JC; WELLINS, DJ"
"AWFAHURK","ENVIRONMENTAL CONSTRAINTS ON THE THERMAL ENERGETICS OF SEA TURTLES",1985,"SPOTILA, JR; STANDORA, EA"
"F6396MM5","Composition of the Hawaiian monk seal population at Kure Atoll, 1990",1993,"Van Toorenburg, Richard A.; Gilmartin, William G.; Henderson, John R."
"CJG8HNUA","Efficient establishment of primary fibroblast cultures from the hawksbill sea turtle (Eretmochelys imbricata)",2012,"Fukuda, Tomokazu; Kurita, Jun; Saito, Tomomi; Yuasa, Kei; Kurita, Masanobu; Donai, Kenichiro; Nitto, Hiroshi; Soichi, Makoto; Nishimori, Katsuhiko; Uchida, Takafumi; Isogai, Emiko; Onuma, Manabu; Sone, Hideko; Oseko, Norihisa; Inoue-Murayama, Miho"
"DIJ8SR3V","Signals of Vitellogenesis and Estrus in Female Hawksbill Turtles",2015,"Kawazu, Isao; Kino, Masakatsu; Yanagisawa, Makio; Maeda, Konomi; Nakada, Ken; Yamaguchi, Yasuhiro; Sawamukai, Yutaka"
"EQNWNFH4","Detection of polymorphisms of the mtDNA control region of Caretta caretta (Testudines: Cheloniidae) by PCR-SSCP",2009,"Reis, E. C.; Albano, R. M.; Bondioli, A. C. V.; Soares, L. S.; Lobo-Hajdu, G."
"EDFZEI4A","TRACKING MARINE TURTLES WITH GENETIC-MARKERS - VOYAGES OF THE ANCIENT MARINERS",1995,"BOWEN, BW"
"BMEDGM7B","Lapita subsistence strategies and food consumption patterns in the community of Teouma (Efate, Vanuatu)",2010,"Valentin, Frederique; Buckley, Hallie R.; Herrscher, Estelle; Kinaston, Rebecca; Bedford, Stuart; Spriggs, Matthew; Hawkins, Stuart; Neal, Ken"
"H9N6WW52","A natural assemblage of immature green (Chelonia mydas) and Hawksbill (Eretmochelys imbricata) turtles on the fringing reef of Wuvulu Island, Papua New Guinea",1992,"Hirth, Harold F.; Huber, Mike; Frohm, Terry; Mala, Tamari"
